age,age_can_class,job,marital,education_lvl,education,default,housing,loan,contact,quarter,month,day_of_week,campaign,previous,contact_var,was_contacted,pweek,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,0,0,0,0,0,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
57,0,1,0,1,1,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,1,0,1,1,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
40,0,2,0,0,2,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
56,0,1,0,1,1,0,0,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,1,0,0,3,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
59,0,2,0,2,4,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,3,0,0,5,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
24,1,4,1,2,4,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
25,0,1,1,1,1,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,3,0,0,5,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
25,0,1,1,1,1,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
29,0,3,1,1,1,0,0,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
57,0,0,2,0,0,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,3,0,0,2,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,5,0,0,3,1,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,3,0,0,2,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
46,0,3,0,0,2,1,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
50,0,3,0,0,3,0,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,6,1,0,3,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
30,0,7,0,1,1,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,3,0,0,0,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,5,1,1,1,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,4,1,1,1,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,2,0,1,1,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,4,0,3,6,0,0,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
59,0,4,0,0,5,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,8,0,0,3,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,4,1,3,6,1,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,9,0,3,6,1,2,2,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
46,0,2,0,0,5,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
59,0,4,0,0,5,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
49,0,3,0,0,5,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,6,0,0,0,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,3,2,0,0,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,9,0,0,0,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
34,0,1,0,1,1,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
52,0,4,0,0,3,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,2,0,3,6,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
56,0,4,0,0,0,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
58,0,6,3,3,6,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
32,0,10,0,1,1,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
38,0,2,1,2,4,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
57,0,2,0,3,6,0,0,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
44,0,2,0,3,6,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,4,1,2,4,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
57,0,2,0,3,6,0,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
40,0,3,0,0,3,0,0,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,2,0,3,6,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,3,0,0,3,0,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,2,0,1,1,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,0,0,0,0,0,0,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
60,0,2,0,1,1,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
53,0,2,1,2,4,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,3,0,0,0,1,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,4,0,2,4,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
50,0,6,0,3,6,1,0,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,1,0,1,1,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,7,0,2,4,1,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
25,0,4,1,3,6,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
47,0,10,0,3,6,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
51,0,3,0,0,3,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,3,0,0,2,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,3,0,0,2,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
48,0,2,0,1,1,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,2,0,3,6,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
44,0,3,1,0,3,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
33,0,2,0,0,5,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
56,0,2,0,0,3,0,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
44,0,3,1,0,0,1,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,6,0,0,2,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
44,0,6,2,3,6,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
47,0,2,0,3,6,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
57,0,9,0,0,5,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,2,0,3,6,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,3,2,0,0,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,1
55,0,4,0,3,6,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
33,0,1,0,1,1,1,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,6,0,0,5,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,3,0,0,3,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
50,0,3,0,0,0,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
51,0,3,0,0,0,1,2,2,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
38,0,2,0,1,1,1,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
49,0,10,0,3,6,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,1
38,0,4,1,3,6,0,0,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
31,0,2,2,1,1,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,6,0,0,2,0,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,2,0,3,6,0,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
49,0,4,0,0,3,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,1
34,0,2,0,1,1,0,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,2,0,3,6,0,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
57,0,9,0,0,5,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
60,0,2,0,0,5,1,0,1,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
33,0,7,0,0,3,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,3,0,0,2,0,0,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,1,0,2,4,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,6,0,3,6,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
53,0,2,2,3,6,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,4,1,2,4,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
44,0,3,0,0,2,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,1,0,0,5,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
49,0,3,0,0,0,0,0,0,0,2,5,1,3,0,3,0,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,1,0,0,5,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
52,0,2,2,3,6,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
52,0,2,2,3,6,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
43,0,1,1,1,1,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
34,0,0,0,0,2,0,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,2,0,1,1,0,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,10,0,0,5,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
43,0,4,0,0,5,1,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
60,0,5,2,3,6,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
58,0,7,0,0,0,1,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,1,2,1,1,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,3,0,0,3,1,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,6,0,3,6,0,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
36,0,3,0,1,1,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
52,0,2,2,3,6,0,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
57,0,3,2,0,5,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
56,0,2,0,0,5,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
48,0,3,2,0,0,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
40,0,3,0,1,1,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
49,0,3,2,1,1,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,1,0,1,1,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,4,0,1,1,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
32,0,2,0,3,6,0,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,2,0,3,6,0,0,1,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
50,0,2,0,0,2,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
31,0,4,2,2,4,0,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
56,0,5,0,0,0,0,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,4,0,2,4,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,1
37,0,3,0,0,2,0,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,4,0,2,4,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,3,0,0,5,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,3,0,0,2,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
52,0,6,0,3,6,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,6,2,3,6,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,0,0,0,0,1,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
56,0,3,0,0,0,1,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
34,0,1,0,1,1,0,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,3,0,0,3,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,1
43,0,7,1,3,6,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
56,0,6,0,0,5,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,6,0,3,6,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
53,0,3,0,0,0,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
38,0,9,2,1,1,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,3,0,0,0,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,3,0,0,0,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,2,1,1,1,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
40,0,2,0,3,6,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
51,0,3,0,0,0,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
60,0,3,0,0,3,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
56,0,10,0,0,5,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,1,2,1,1,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
56,0,10,0,0,5,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
40,0,3,0,0,5,0,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
36,0,3,0,0,3,0,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
51,0,3,0,0,5,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
51,0,3,0,0,5,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
43,0,4,1,2,4,0,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
59,0,1,0,1,1,0,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
24,1,6,1,3,6,0,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,3,1,0,3,1,1,1,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
40,0,3,0,0,3,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,3,0,0,3,1,0,0,0,2,5,1,3,0,3,0,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,1,2,1,1,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,10,0,0,2,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
38,0,1,0,1,1,0,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
56,0,2,2,0,5,1,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
40,0,3,0,0,5,0,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,6,2,3,6,0,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
43,0,3,0,1,1,1,0,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
36,0,1,0,1,1,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,4,0,3,6,0,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,2,1,3,6,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
43,0,1,0,1,1,0,0,0,0,2,5,1,3,0,3,0,0,0,1.1,93.994,-36.4,4.857,5191,0
46,0,6,0,0,3,0,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
44,0,1,0,1,1,0,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
51,0,2,1,0,2,0,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
28,0,1,0,1,1,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,3,0,0,3,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
34,0,4,0,1,1,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
46,0,3,0,0,2,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,3,0,0,3,0,1,1,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,1
36,0,2,0,3,6,0,1,0,0,2,5,1,3,0,3,0,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,3,0,0,0,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
57,0,6,0,3,6,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
51,0,4,0,0,2,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,5,0,1,1,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
49,0,3,0,0,0,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
34,0,2,0,3,6,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,4,0,2,4,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
38,0,3,1,0,3,0,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,6,2,3,6,0,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,4,0,3,6,0,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
34,0,3,1,0,3,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
48,0,3,0,0,0,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,2,0,1,1,1,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
34,0,3,1,0,3,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
40,0,2,0,0,3,1,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
43,0,3,0,0,2,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
33,0,1,0,1,1,0,0,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
32,0,1,1,0,2,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,3,0,1,1,0,1,0,0,2,5,1,2,0,2,0,0,0,1.1,93.994,-36.4,4.857,5191,0
43,0,2,0,0,5,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
44,0,3,0,0,3,0,1,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,11,1,3,6,1,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,11,1,3,6,1,1,1,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,7,0,2,4,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
36,0,1,1,0,0,0,0,0,0,2,5,1,1,0,1,0,0,0,1.1,93.994,-36.4,4.857,5191,0
