,,0
emp.var.rate,euribor3m,0.9957304081840028
was_contacted,pweek,0.9953363886450276
poutcome,was_contacted,0.9950584075460432
month,quarter,0.9946541186920913
previous,was_contacted,0.9920174625771767
euribor3m,nr.employed,0.9886282787723416
emp.var.rate,nr.employed,0.983196756950655
campaign,contact_var,0.974169152923013
previous,poutcome,0.9694490157109392
education,education_lvl,0.962997250177777
emp.var.rate,cons.price.idx,0.9156337960223649
contact,cons.price.idx,0.8894322686482063
cons.price.idx,euribor3m,0.8845136095756101
previous,nr.employed,0.8669161184683578
nr.employed,was_contacted,0.8598596997361297
euribor3m,was_contacted,0.8512833396099933
poutcome,nr.employed,0.8456476152857691
previous,euribor3m,0.8418913842189687
emp.var.rate,was_contacted,0.8414644969685113
cons.price.idx,nr.employed,0.8330351543636503
previous,emp.var.rate,0.829878148225962
poutcome,euribor3m,0.8090063760816113
poutcome,emp.var.rate,0.7982219322199772
previous,pweek,0.7839267682441292
contact,emp.var.rate,0.7630582082184717
contact,euribor3m,0.7352959949088622
euribor3m,pweek,0.7246068834629186
nr.employed,y,0.7244368519189989
emp.var.rate,pweek,0.7181368021302929
cons.price.idx,was_contacted,0.7148230975999295
nr.employed,pweek,0.692154836776186
euribor3m,y,0.6801428214833318
cons.price.idx,pweek,0.6798132793930326
emp.var.rate,y,0.6760761931673848
contact,nr.employed,0.6697607089793903
previous,cons.price.idx,0.6545038060629871
poutcome,y,0.6368335557470466
poutcome,pweek,0.6311975498796709
poutcome,cons.price.idx,0.6031063368438299
nr.employed,age_can_class,0.5967013121541339
duration,y,0.5927006595339848
pdays,y,0.589538834919685
contact,was_contacted,0.5816967715168192
previous,y,0.5804603565217098
previous,contact_var,0.5731386790268291
emp.var.rate,age_can_class,0.5667796062588125
euribor3m,age_can_class,0.5660020099353203
contact,previous,0.5558601704499726
contact_var,was_contacted,0.5551625724363163
poutcome,contact_var,0.5459965200488233
contact,poutcome,0.5323841548503915
y,was_contacted,0.5274256404325655
contact,pweek,0.517016383987931
cons.price.idx,y,0.5031137580046581
housing,loan,0.5007880888444886
contact,quarter,0.4988266183677896
nr.employed,contact_var,0.49617420741240603
pdays,poutcome,0.49252855659256956
cons.conf.idx,pweek,0.4893796349232081
emp.var.rate,contact_var,0.4809532685854505
default,emp.var.rate,0.48008030743249464
default,contact,0.47791466111974257
default,cons.price.idx,0.4769813308001945
default,education_lvl,0.47670405141092964
euribor3m,contact_var,0.46959789754246145
default,euribor3m,0.46589434350687936
default,nr.employed,0.46567601712531936
y,age_can_class,0.45450137321516826
contact_var,pweek,0.45364079316463407
cons.price.idx,age_can_class,0.44569285572179246
contact,month,0.4419176732788545
contact,y,0.43651001725865507
poutcome,age_can_class,0.4343810351789289
previous,age_can_class,0.430503741946862
y,contact_var,0.42968691436127104
cons.price.idx,contact_var,0.42753426520034826
default,previous,0.41499494657792313
education,default,0.41452012664190535
contact,contact_var,0.40938679475789275
default,was_contacted,0.4058744070564502
default,poutcome,0.40518762357642213
age_can_class,was_contacted,0.3961914836711336
pdays,nr.employed,0.39584205961749874
default,y,0.3953880425386618
cons.conf.idx,euribor3m,0.3924270794888469
contact,cons.conf.idx,0.3869438674330112
cons.conf.idx,was_contacted,0.38639090487781386
campaign,previous,0.37827990005011947
campaign,was_contacted,0.37491545835841306
pdays,previous,0.3679624365599598
month,cons.conf.idx,0.35860556221563833
emp.var.rate,cons.conf.idx,0.3467626539095172
campaign,poutcome,0.3440646879759047
age,age_can_class,0.33976994519841
campaign,pweek,0.33236233245077584
contact,age_can_class,0.33096964339046536
campaign,nr.employed,0.328991714916714
default,pweek,0.32725500220761683
campaign,emp.var.rate,0.325280037215646
campaign,cons.price.idx,0.3189805100456623
contact,campaign,0.3175112945032367
pdays,cons.conf.idx,0.31698751606760933
campaign,y,0.315931205459701
age_can_class,contact_var,0.31271901693485293
cons.price.idx,cons.conf.idx,0.31173430805223673
campaign,euribor3m,0.3091189035026008
pdays,euribor3m,0.3086654196443951
age,education_lvl,0.3085207467774411
pdays,emp.var.rate,0.3074614748627192
pdays,age_can_class,0.3068608592736305
marital,default,0.2960512012351838
age,marital,0.29165099156101115
cons.conf.idx,nr.employed,0.2900766595818037
cons.conf.idx,quarter,0.28898037210784283
age,education,0.2885283661172529
cons.price.idx,quarter,0.28449952710588683
age_can_class,pweek,0.27605746542286785
job,nr.employed,0.27568709738294805
job,emp.var.rate,0.2733780817950677
