age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,age_can_class,contact_var,was_contacted,pweek,quarter,education_lvl
56,0,0,0,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
57,1,0,1,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
37,1,0,1,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
40,2,0,2,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
56,1,0,1,0,0,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
45,1,0,3,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
59,2,0,4,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,2
41,3,0,5,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
24,4,1,4,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,1,1,0,0,2,2
25,1,1,1,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
41,3,0,5,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
25,1,1,1,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
29,3,1,1,0,0,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
57,0,2,0,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
35,3,0,2,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
54,5,0,3,1,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
35,3,0,2,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
46,3,0,2,1,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
50,3,0,3,0,1,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
39,6,1,3,1,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
30,7,0,1,0,0,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
55,3,0,0,1,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
55,5,1,1,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
41,4,1,1,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
37,2,0,1,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,1
35,4,0,6,0,0,1,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,3
59,4,0,5,0,1,0,0,5,1,1,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,2,0
